sepal_length,sepal_width,petal_length,petal_width,id,target,created_timestamp,event_timestamp
4.6,3.2,1.4,0.2,47,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.3,3.7,1.5,0.2,48,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.3,1.4,0.2,49,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.0,3.2,4.7,1.4,50,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.4,3.2,4.5,1.5,51,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.9,3.1,4.9,1.5,52,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.5,2.3,4.0,1.3,53,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.5,2.8,4.6,1.5,54,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,2.8,4.5,1.3,55,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,3.3,4.7,1.6,56,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.9,2.4,3.3,1.0,57,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.6,2.9,4.6,1.3,58,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.2,2.7,3.9,1.4,59,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,2.0,3.5,1.0,60,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.9,3.0,4.2,1.5,61,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.0,2.2,4.0,1.0,62,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.1,2.9,4.7,1.4,63,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.6,2.9,3.6,1.3,64,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,3.1,4.4,1.4,65,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.6,3.0,4.5,1.5,66,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.8,2.7,4.1,1.0,67,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.2,2.2,4.5,1.5,68,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.6,2.5,3.9,1.1,69,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.9,3.2,4.8,1.8,70,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.1,2.8,4.0,1.3,71,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,2.5,4.9,1.5,72,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.1,2.8,4.7,1.2,73,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.4,2.9,4.3,1.3,74,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.6,3.0,4.4,1.4,75,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.8,2.8,4.8,1.4,76,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,3.0,5.0,1.7,77,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.0,2.9,4.5,1.5,78,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,2.6,3.5,1.0,79,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.5,2.4,3.8,1.1,80,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.5,2.4,3.7,1.0,81,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.8,2.7,3.9,1.2,82,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.0,2.7,5.1,1.6,83,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.4,3.0,4.5,1.5,84,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.0,3.4,4.5,1.6,85,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,3.1,4.7,1.5,86,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,2.3,4.4,1.3,87,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.6,3.0,4.1,1.3,88,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.5,2.5,4.0,1.3,89,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.5,2.6,4.4,1.2,90,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.1,3.0,4.6,1.4,91,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.8,2.6,4.0,1.2,92,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,2.3,3.3,1.0,93,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.6,2.7,4.2,1.3,94,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,3.0,4.2,1.2,95,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,2.9,4.2,1.3,96,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.2,2.9,4.3,1.3,97,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,2.5,3.0,1.1,98,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,2.8,4.1,1.3,99,1,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,3.3,6.0,2.5,100,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.8,2.7,5.1,1.9,101,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.1,3.0,5.9,2.1,102,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,2.9,5.6,1.8,103,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.5,3.0,5.8,2.2,104,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.6,3.0,6.6,2.1,105,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.9,2.5,4.5,1.7,106,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.3,2.9,6.3,1.8,107,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,2.5,5.8,1.8,108,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.2,3.6,6.1,2.5,109,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.5,3.2,5.1,2.0,110,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.4,2.7,5.3,1.9,111,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.8,3.0,5.5,2.1,112,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,2.5,5.0,2.0,113,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.8,2.8,5.1,2.4,114,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.4,3.2,5.3,2.3,115,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.5,3.0,5.5,1.8,116,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.7,3.8,6.7,2.2,117,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.7,2.6,6.9,2.3,118,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.0,2.2,5.0,1.5,119,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.9,3.2,5.7,2.3,120,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.6,2.8,4.9,2.0,121,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.7,2.8,6.7,2.0,122,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,2.7,4.9,1.8,123,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,3.3,5.7,2.1,124,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.2,3.2,6.0,1.8,125,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.2,2.8,4.8,1.8,126,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.1,3.0,4.9,1.8,127,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.4,2.8,5.6,2.1,128,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.2,3.0,5.8,1.6,129,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.4,2.8,6.1,1.9,130,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.9,3.8,6.4,2.0,131,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.4,2.8,5.6,2.2,132,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,2.8,5.1,1.5,133,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.1,2.6,5.6,1.4,134,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
7.7,3.0,6.1,2.3,135,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,3.4,5.6,2.4,136,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.4,3.1,5.5,1.8,137,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.0,3.0,4.8,1.8,138,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.9,3.1,5.4,2.1,139,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,3.1,5.6,2.4,140,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.9,3.1,5.1,2.3,141,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.8,2.7,5.1,1.9,142,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.8,3.2,5.9,2.3,143,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,3.3,5.7,2.5,144,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.7,3.0,5.2,2.3,145,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.3,2.5,5.0,1.9,146,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.5,3.0,5.2,2.0,147,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
6.2,3.4,5.4,2.3,148,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.9,3.0,5.1,1.8,149,2,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
